objectid,title,creator,date,description,subject,extent,medium,source,identifier,format,rights,rightsstatement,display_template,object rename ,object_location,image_small,image_thumb,image_alt_text
ArtLoanProgram_00021,Departure,"Hook, Rob",,black and white,seascape ; boat,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 21",ArtLoan_b1_0021,image/tiff,,,image,/objects/ArtLoan_b1_0021.jpg,,,,
ArtLoanProgram_00022,Winterscape,"Eckmair, Frank",,black and green woodcut,trees,Less than 17 in. x 21 in.,woodcut,"Art Loan, box 1, item 22",ArtLoan_b1_0022,image/tiff,,,image,/objects/ArtLoan_b1_0022.jpg,,,,
ArtLoanProgram_00023,Study,Unknown,,charcoal,interior portrait,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 23",ArtLoan_b1_0023,image/tiff,,,image,/objects/ArtLoan_b1_0023.jpg,,,,
ArtLoanProgram_00024,Woman and Bird,Briss,,paint,woman ; bird ; animal,Less than 17 in. x 21 in.,painting,"Art Loan, box 1, item 24",ArtLoan_b1_0024,image/tiff,,,image,/objects/ArtLoan_b1_0024.jpg,,,,
ArtLoanProgram_00025,Woman on Bed,"Dolice, Leon",,black and white etching,woman,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 25",ArtLoan_b1_0025,image/tiff,,,image,/objects/ArtLoan_b1_0025.jpg,,,,
ArtLoanProgram_00026,Donkey,"Cabot, Hugh",,black and white print,animal ; donkey,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 26",ArtLoan_b1_0026,image/tiff,,,image,/objects/ArtLoan_b1_0026.jpg,,,,
ArtLoanProgram_00027,Trees,"Dodge, F. Farrand",,black and white etching,trees ; nature,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 27",ArtLoan_b1_0027,image/tiff,,,image,/objects/ArtLoan_b1_0027.jpg,,,,
ArtLoanProgram_00028,Town,"Swann, Don",,watercolor,town ; landscape ; colorful,Less than 17 in. x 21 in.,watercolor,"Art Loan, box 1, item 28",ArtLoan_b1_0028,image/tiff,,,image,/objects/ArtLoan_b1_0028.jpg,,,,
ArtLoanProgram_00029,Preve el'a,"Torizzo, Angelica",1970,black and white block print,people ; women,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 29",ArtLoan_b1_0029,image/tiff,,,image,/objects/ArtLoan_b1_0029.jpg,,,,
ArtLoanProgram_00030,Reflections,"Margolies, S.L.",,black and white mezzotint,park ; water,Less than 17 in. x 21 in.,mezzotint,"Art Loan, box 1, item 30",ArtLoan_b1_0030,image/tiff,,,image,/objects/ArtLoan_b1_0030.jpg,,,,
ArtLoanProgram_00031,Forest Glade,"Scharff, C.",,color print,abstract,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 31",ArtLoan_b1_0031,image/tiff,,,image,/objects/ArtLoan_b1_0031.jpg,,,,
